,freq,word,freq Mu
283,1.0,papi,1.0
284,1.0,ojo,1.0
285,1.0,triángulo,1.0
286,1.0,illuminati,1.0
287,16.0,hip,16.0
288,16.0,hop,16.0
289,1.0,noventa,1.0
290,2.0,música,1.0
291,5.0,hago,2.0
292,1.0,llover,1.0
293,1.0,rimas,1.0
294,1.0,aumenta,1.0
295,1.0,tormenta,1.0
296,2.0,barras,2.0
297,1.0,cadena,1.0
298,1.0,perpetua,1.0
299,1.0,entro,1.0
300,2.0,party,2.0
301,1.0,squad,1.0
302,1.0,homegrizzy,1.0
303,1.0,tumbarnos,1.0
304,1.0,puesto,1.0
305,8.0,homie,2.0
306,1.0,difícil,1.0
307,1.0,aqui,1.0
308,1.0,déficit,1.0
309,3.0,mejores,3.0
310,1.0,dj´s,1.0
311,1.0,productores,1.0
312,1.0,mc´s,1.0
313,1.0,¡win,1.0
314,2.0,team,2.0
315,3.0,trago,3.0
316,5.0,tras,5.0
317,1.0,vomite,1.0
318,1.0,salud,1.0
319,20.0,nadie,9.0
320,1.0,gripe,1.0
321,1.0,pervertido,1.0
322,1.0,niña,1.0
323,1.0,enséñame,1.0
324,1.0,ife,1.0
325,1.0,disparo,1.0
326,1.0,boca,1.0
327,1.0,cromas,1.0
328,1.0,rifle,1.0
329,1.0,lento,1.0
330,1.0,apresuro,1.0
331,1.0,llaman,1.0
332,1.0,equivoco,1.0
333,6.0,mundo,5.0
334,4.0,mitad,2.0
335,1.0,rush,1.0
336,2.0,weed,2.0
337,1.0,eleva,1.0
338,1.0,ki,1.0
339,2.0,llamo,1.0
340,1.0,gokush,1.0
341,1.0,piche,1.0
342,1.0,güey,1.0
343,1.0,aye,
344,7.0,it,
345,65.0,’,9.0
346,5.0,s,
347,3.0,boy,
348,1.0,milk,
349,1.0,mu,
350,1.0,zupreeme,
351,27.0,we,
352,3.0,about,
353,1.0,to-,
354,7.0,to,
355,1.0,take,
356,13.0,the,
357,1.0,next,
358,1.0,world,
359,14.0,love,
360,11.0,is,
361,12.0,all,
362,10.0,want,
363,5.0,said,
364,8.0,ain,
365,9.0,t,
366,6.0,falling,
367,6.0,at,
368,6.0,wrong,
369,9.0,time,
370,1.0,huh,1.0
371,2.0,ok,1.0
372,1.0,orgasmos,1.0
373,2.0,multiples,2.0
374,1.0,novias,1.0
375,2.0,besos,2.0
376,1.0,inútiles,1.0
377,1.0,memoria,1.0
378,7.0,quiere,5.0
379,6.0,veces,4.0
380,1.0,odia,1.0
381,1.0,suena,1.0
382,1.0,familiar,1.0
383,1.0,historia,1.0
384,1.0,aprendi,1.0
385,1.0,lección,1.0
386,1.0,velocidad,1.0
387,1.0,persecución,1.0
388,1.0,hable,1.0
389,4.0,corazón,4.0
390,27.0,mal,27.0
391,1.0,imbécil,1.0
392,1.0,toma,1.0
393,1.0,decisión,1.0
394,2.0,dices,2.0
395,1.0,fallar,1.0
396,1.0,follar,1.0
397,1.0,gustaron,1.0
398,1.0,aretes,1.0
399,1.0,collar,1.0
400,6.0,mejor,5.0
401,1.0,hablemos,1.0
402,1.0,inhalemos,1.0
403,1.0,¿cuánta,1.0
404,1.0,coca,1.0
405,1.0,acabo,1.0
406,1.0,cobrar,1.0
407,13.0,menos,2.0
408,7.0,vine,7.0
409,6.0,protestar,6.0
410,4.0,cansado,4.0
411,4.0,pelear,4.0
412,3.0,buscándote,3.0
413,3.0,celular,3.0
414,6.0,pensando,6.0
415,4.0,llamar,4.0
416,5.0,error,
417,4.0,dime,2.0
418,8.0,miénteme,
419,5.0,favor,
420,1.0,destruimos,1.0
421,2.0,muérdeme,2.0
422,2.0,haz,2.0
423,1.0,vea,1.0
424,6.0,suerte,6.0
425,1.0,saltemos,1.0
426,3.0,vacío,3.0
427,1.0,aburrimos,1.0
428,1.0,recuérdame,1.0
429,1.0,hazme,1.0
430,4.0,sentir,3.0
431,2.0,dame,2.0
432,2.0,fríos,2.0
433,2.0,queman,2.0
434,2.0,ven,2.0
435,2.0,metete,2.0
436,2.0,cama,2.0
437,1.0,méteme,1.0
438,3.0,problemas,3.0
439,1.0,mirada,1.0
440,1.0,tierna,1.0
441,3.0,lengua,2.0
442,1.0,labios,1.0
443,1.0,piernas,1.0
444,3.0,piel,3.0
445,2.0,tiembla,1.0
446,1.0,hembra,1.0
447,13.0,haces,13.0
448,1.0,creer,1.0
449,4.0,nuevo,4.0
450,1.0,mierda,1.0
451,3.0,misma,3.0
452,1.0,deliciosamente,1.0
453,1.0,maligna,1.0
454,9.0,porto,9.0
455,8.0,opinas,8.0
456,8.0,importa,8.0
457,9.0,fin,9.0
458,8.0,mañana,8.0
459,23.0,volveré,23.0
460,13.0,caer,13.0
461,7.0,tarde,7.0
462,1.0,alberquita,1.0
463,1.0,plástico,1.0
464,2.0,pasando,2.0
465,1.0,güato,1.0
466,1.0,buena,1.0
467,7.0,sé,4.0
468,1.0,olfato,1.0
469,1.0,contacto,1.0
470,6.0,cuerpo,3.0
471,9.0,vamos,8.0
472,1.0,trato,1.0
473,2.0,quise,2.0
474,1.0,verbearte,1.0
475,1.0,resultó,1.0
476,5.0,gusta,5.0
477,1.0,vato,1.0
478,1.0,putón,1.0
479,1.0,vestido,1.0
480,1.0,louis,1.0
481,1.0,vuitton,1.0
482,1.0,situación,1.0
483,1.0,rollo,1.0
484,2.0,bonito,2.0
485,1.0,fon,1.0
486,2.0,mano,2.0
487,2.0,culo,1.0
488,1.0,dándole,1.0
489,1.0,apretón,1.0
490,22.0,voy,15.0
491,1.0,boyfriend,1.0
492,3.0,nombre,3.0
493,1.0,``,1.0
494,1.0,bañar,1.0
495,1.0,prendas,1.0
496,1.0,boiler,1.0
497,5.0,'',3.0
498,1.0,ninguna,1.0
499,1.0,presión,1.0
500,1.0,moches,1.0
501,1.0,consagres,1.0
502,1.0,calienta,1.0
503,1.0,lonches,1.0
504,11.0,noche,6.0
505,1.0,pórtate,1.0
506,2.0,linda,2.0
507,1.0,disfruta,1.0
508,5.0,cosas,4.0
509,1.0,brinda,1.0
510,1.0,tráete,1.0
511,1.0,amiguita,1.0
512,1.0,pal,1.0
513,1.0,caso,1.0
514,1.0,kalimba,1.0
515,2.0,vente,2.0
516,15.0,conmigo,5.0
517,2.0,quemar,2.0
518,4.0,portarnos,4.0
519,6.0,miedo,6.0
520,16.0,nacer,12.0
521,1.0,fumo,1.0
522,4.0,escribo,4.0
523,1.0,canciones,1.0
524,1.0,presiones,1.0
525,1.0,tranquilo,1.0
526,1.0,hippie,1.0
527,1.0,vacaciones,1.0
528,1.0,comprendes,1.0
529,2.0,girl,2.0
530,1.0,comes,1.0
531,1.0,dieta,1.0
532,1.0,suspende,1.0
533,1.0,come,1.0
534,1.0,genes,1.0
535,1.0,patán,1.0
536,4.0,parece,4.0
537,21.0,así,8.0
538,1.0,poniendo,1.0
539,1.0,atención,1.0
540,4.0,creo,4.0
541,2.0,especial,2.0
542,6.0,crees,4.0
543,1.0,serio,1.0
544,8.0,puede,5.0
545,1.0,condenado,1.0
546,1.0,diana,1.0
547,1.0,salazar,1.0
548,1.0,noches,1.0
549,1.0,amores,1.0
550,1.0,azar,1.0
551,1.0,decides,1.0
552,6.0,pasar,1.0
553,1.0,insistes,1.0
554,2.0,hablar,2.0
555,10.0,quieres,4.0
556,1.0,casar,1.0
557,4.0,fuck,1.0
558,1.0,espada,1.0
559,1.0,lista,1.0
560,1.0,samurai,1.0
561,1.0,matarte,1.0
562,1.0,tao,1.0
563,2.0,pai,2.0
564,3.0,bye,2.0
565,1.0,alejarme,1.0
566,26.0,tiempo,10.0
567,1.0,marty,1.0
568,1.0,mcfly,1.0
569,7.0,amigo,
570,2.0,ve,1.0
571,2.0,ombligo,
572,7.0,fuego,2.0
573,1.0,vela,
574,1.0,neta,
575,1.0,pela,
576,3.0,ves,2.0
577,3.0,sientes,2.0
578,1.0,chón,
579,1.0,comienza,
580,1.0,empapar,
581,1.0,preparas,
582,1.0,declaración,
583,1.0,memorizas,
584,1.0,aprendes,
585,1.0,acercas,
586,1.0,recreo,
587,8.0,vas,6.0
588,1.0,declarar,
589,1.0,llega,
590,1.0,carita,
591,1.0,empieza,
592,1.0,agasajar,
593,1.0,aplausos,
594,1.0,aburrido,1.0
595,1.0,recargado,1.0
596,1.0,pared,1.0
597,1.0,cigarro,1.0
598,1.0,bebiendo,1.0
599,3.0,tener,3.0
600,1.0,sed,1.0
601,4.0,metido,4.0
602,3.0,ideas,3.0
603,1.0,quererlo,1.0
604,1.0,miré,1.0
605,1.0,celestial,1.0
606,2.0,misterio,2.0
607,1.0,encontré,1.0
608,1.0,sonreíste,1.0
609,2.0,pronto,2.0
610,1.0,empecé,1.0
611,2.0,incluso,2.0
612,1.0,acerque,1.0
613,2.0,dije,2.0
614,1.0,envalentoné,1.0
615,2.0,hice,2.0
616,1.0,crucé,1.0
617,1.0,puente,1.0
618,2.0,escapé,2.0
619,1.0,eclipse,1.0
620,1.0,hola,1.0
621,1.0,¿cómo,1.0
622,1.0,fulano,1.0
623,1.0,preguntaba,1.0
624,5.0,puedo,4.0
625,1.0,acompañar,1.0
626,5.0,momento,5.0
627,1.0,bella,1.0
628,3.0,vale,2.0
629,3.0,pena,3.0
630,1.0,intento,1.0
631,2.0,hablamos,2.0
632,1.0,reímos,1.0
633,1.0,disfrutamos,1.0
634,1.0,compartimos,1.0
635,2.0,veras,2.0
636,1.0,viví,1.0
637,3.0,gran,1.0
638,1.0,episodio,1.0
639,1.0,pensaba,1.0
640,2.0,destino,2.0
641,1.0,vio,1.0
642,5.0,dijo,4.0
643,1.0,divertido,1.0
644,1.0,caerás,1.0
645,1.0,novio,1.0
646,11.0,deja,
647,10.0,intente,
648,6.0,indiferente,
649,1.0,imagino,
650,1.0,imaginas,
651,1.0,pienso,
652,1.0,pintor,
653,1.0,imagina,
654,1.0,colores,
655,1.0,lienzo,
656,1.0,amiga,
657,3.0,día,2.0
658,1.0,dijiste,
659,1.0,gustaría,
660,2.0,razón,1.0
661,1.0,alguna,
662,1.0,persiguiéndote,
663,1.0,insistiendo,
664,15.0,siento,13.0
665,1.0,masoquista,
666,2.0,haciendo,
667,1.0,sabiendo,
668,7.0,mente,3.0
669,1.0,ocupo,
670,1.0,recuerdo,
671,3.0,deseo,1.0
672,2.0,problema,1.0
673,1.0,incrusta,
674,4.0,pensar,3.0
675,1.0,claramente,
676,1.0,secretos,
677,1.0,confidente,
678,1.0,derecho,
679,1.0,mirarte,
680,1.0,poseerte,
681,1.0,unas,
682,3.0,horas,2.0
683,1.0,ahoga,
684,1.0,complacerte,
685,1.0,entreteje,
686,1.0,pliegues,
687,3.0,frío,2.0
688,2.0,nieve,1.0
689,1.0,incandescente,
690,1.0,vientre,
691,6.0,nena,2.0
692,2.0,sabido,
693,2.0,quererte,
694,2.0,sido,
695,3.0,presente,1.0
696,3.0,ningún,1.0
697,2.0,querido,
698,1.0,duerme,1.0
699,11.0,cada,10.0
700,1.0,desvela,1.0
701,1.0,enamorado,1.0
702,2.0,tranquilas,2.0
703,1.0,espera,1.0
704,1.0,saliendo,1.0
705,1.0,acompaña,1.0
706,3.0,casa,2.0
707,1.0,carga,1.0
708,1.0,mochila,1.0
709,5.0,aunque,4.0
710,1.0,atrevido,1.0
711,1.0,confesarle,1.0
712,2.0,morro,2.0
713,1.0,tímido,1.0
714,1.0,asusta,1.0
715,1.0,practica,1.0
716,3.0,espejo,2.0
717,5.0,palabras,5.0
718,1.0,perfectas,1.0
719,3.0,llegar,1.0
720,1.0,desconecta,1.0
721,1.0,pasaron,1.0
722,2.0,meses,2.0
723,1.0,decidió,1.0
724,1.0,escribirle,1.0
725,1.0,carta,1.0
726,3.0,llena,3.0
727,1.0,poesía,1.0
728,1.0,faltas,1.0
729,1.0,ortografía,1.0
730,4.0,dejó,1.0
731,3.0,alma,3.0
732,1.0,letra,1.0
733,1.0,contó,1.0
734,1.0,sentía,1.0
735,1.0,leyó,1.0
736,1.0,frente,1.0
737,1.0,aquel,1.0
738,1.0,trozo,1.0
739,1.0,papel,1.0
740,6.0,palabra,6.0
741,1.0,erizaba,1.0
742,1.0,sonriendo,1.0
743,1.0,sincera,1.0
744,7.0,contigo,6.0
745,6.0,amigos,3.0
746,1.0,ayo,1.0
747,1.0,listen,1.0
748,1.0,sombras,1.0
749,1.0,prevalecen,1.0
750,1.0,une,1.0
751,1.0,desaparece,1.0
752,1.0,favorece,1.0
753,6.0,peleamos,1.0
754,1.0,parar,1.0
755,2.0,afuera,2.0
756,1.0,amanece,1.0
757,3.0,martes,3.0
758,3.0,13,3.0
759,1.0,probable,1.0
760,1.0,tropiece,1.0
761,1.0,temores,1.0
762,1.0,crecen,1.0
763,1.0,tumores,1.0
764,1.0,irte,1.0
765,1.0,vete,1.0
766,1.0,demores,1.0
767,1.0,golpear,1.0
768,2.0,tambores,2.0
769,4.0,hacemos,3.0
770,1.0,enfrentamos,1.0
771,1.0,dolor,1.0
772,1.0,descendemos,1.0
773,3.0,hacia,3.0
774,1.0,caos,1.0
775,2.0,¿verdad,1.0
776,1.0,odiamos,1.0
777,1.0,cariño,1.0
778,1.0,amamos,1.0
779,2.0,piedad,2.0
780,1.0,tormentas,1.0
781,1.0,avecina,1.0
782,1.0,paciencia,1.0
783,6.0,ver,3.0
784,1.0,termina,1.0
785,1.0,cerillo,1.0
786,1.0,galón,1.0
787,1.0,gasolina,1.0
788,8.0,pides,8.0
789,4.0,aleje,4.0
790,4.0,quede,4.0
791,2.0,entiende,2.0
792,10.0,entiendo,
793,13.0,amo,3.0
794,5.0,arreglamos,
795,5.0,dice,2.0
796,1.0,caminas,
797,1.0,agua,
798,4.0,ahí,3.0
799,2.0,convierte,1.0
800,1.0,zona,
801,1.0,guerrilla,
802,1.0,nicaragua,
803,1.0,amenaza,
804,1.0,romperme,
805,1.0,cristales,
806,1.0,guagua,
807,1.0,truco,
808,1.0,ignorarlas,
809,2.0,modo,
810,1.0,poniéndonos,
811,1.0,cachondos,
812,1.0,resolvemos,
813,1.0,veas,
814,1.0,escuches,
815,1.0,murmullos,
816,1.0,tragarse,
817,3.0,orgullo,2.0
818,1.0,gritando,
819,1.0,odias,
820,1.0,agencia,
821,1.0,porsche,
822,2.0,parecer,
823,2.0,cartera,1.0
824,1.0,dolce,
825,1.0,harás,
826,1.0,víctima,
827,1.0,regale,
828,1.0,fuegos,
829,1.0,artificiales,
830,5.0,final,4.0
831,1.0,diciembre,
832,1.0,relajo,
833,5.0,¿que,1.0
834,1.0,tupac,
835,1.0,madonna,
836,2.0,9,
837,2.0,3,1.0
838,1.0,biggie,
839,1.0,lil,
840,1.0,kim,
841,2.0,4,1.0
842,1.0,ama,
843,2.0,cuatro,1.0
844,1.0,estática,1.0
845,4.0,tele,2.0
846,1.0,platica,1.0
847,3.0,cena,3.0
