Text;Size;Color;Angle;Font;Repeat;URL
REVERSE;2;Random;Random;Random;Yes;http://wordart.com/go?word=reverse
HAIL;2;Random;Random;Random;Yes;http://wordart.com/go?word=hail
MARY;2;Random;Random;Random;Yes;http://wordart.com/go?word=mary
DEMONS;2;Random;Random;Random;Yes;http://wordart.com/go?word=demons
RELATIVES;2;Random;Random;Random;Yes;http://wordart.com/go?word=relatives
SLEEP;2;Random;Random;Random;Yes;http://wordart.com/go?word=sleep
DEEP;2;Random;Random;Random;Yes;http://wordart.com/go?word=deep
UPON;2;Random;Random;Random;Yes;http://wordart.com/go?word=upon
PROCESS;2;Random;Random;Random;Yes;http://wordart.com/go?word=process
POVERTY'S;2;Random;Random;Random;Yes;http://wordart.com/go?word=poverty's
CRACK;2;Random;Random;Random;Yes;http://wordart.com/go?word=crack
COLLECTED;2;Random;Random;Random;Yes;http://wordart.com/go?word=collected
MOMMA;2;Random;Random;Random;Yes;http://wordart.com/go?word=momma
YEAR;2;Random;Random;Random;Yes;http://wordart.com/go?word=year
TELLIN';2;Random;Random;Random;Yes;http://wordart.com/go?word=tellin'
NANNY;2;Random;Random;Random;Yes;http://wordart.com/go?word=nanny
FIFTEEN;2;Random;Random;Random;Yes;http://wordart.com/go?word=fifteen
EVEN;2;Random;Random;Random;Yes;http://wordart.com/go?word=even
TWENTY;2;Random;Random;Random;Yes;http://wordart.com/go?word=twenty
COUPLE;2;Random;Random;Random;Yes;http://wordart.com/go?word=couple
BABIES;2;Random;Random;Random;Yes;http://wordart.com/go?word=babies
WITNESSES;2;Random;Random;Random;Yes;http://wordart.com/go?word=witnesses
PROVE;2;Random;Random;Random;Yes;http://wordart.com/go?word=prove
WENT;2;Random;Random;Random;Yes;http://wordart.com/go?word=went
PARKING;2;Random;Random;Random;Yes;http://wordart.com/go?word=parking
BLOCKS;2;Random;Random;Random;Yes;http://wordart.com/go?word=blocks
LIGHT;2;Random;Random;Random;Yes;http://wordart.com/go?word=light
FIVE;2;Random;Random;Random;Yes;http://wordart.com/go?word=five
FREAK;2;Random;Random;Random;Yes;http://wordart.com/go?word=freak
POCKET;2;Random;Random;Random;Yes;http://wordart.com/go?word=pocket
'CROSS;2;Random;Random;Random;Yes;http://wordart.com/go?word='cross
STUCK;2;Random;Random;Random;Yes;http://wordart.com/go?word=stuck
EIGHT;2;Random;Random;Random;Yes;http://wordart.com/go?word=eight
CRIME;2;Random;Random;Random;Yes;http://wordart.com/go?word=crime
MANAGER;2;Random;Random;Random;Yes;http://wordart.com/go?word=manager
FREE;2;Random;Random;Random;Yes;http://wordart.com/go?word=free
PAY;2;Random;Random;Random;Yes;http://wordart.com/go?word=pay
LIVES;2;Random;Random;Random;Yes;http://wordart.com/go?word=lives
CURSE;2;Random;Random;Random;Yes;http://wordart.com/go?word=curse
STRANGERS;2;Random;Random;Random;Yes;http://wordart.com/go?word=strangers
SOUL;2;Random;Random;Random;Yes;http://wordart.com/go?word=soul
LATER;2;Random;Random;Random;Yes;http://wordart.com/go?word=later
MEET;2;Random;Random;Random;Yes;http://wordart.com/go?word=meet
RAPPER;2;Random;Random;Random;Yes;http://wordart.com/go?word=rapper
GREW;2;Random;Random;Random;Yes;http://wordart.com/go?word=grew
FATHER;2;Random;Random;Random;Yes;http://wordart.com/go?word=father
WILLIN';2;Random;Random;Random;Yes;http://wordart.com/go?word=willin'
BIBLE;2;Random;Random;Random;Yes;http://wordart.com/go?word=bible
EYE;2;Random;Random;Random;Yes;http://wordart.com/go?word=eye
CATCH;2;Random;Random;Random;Yes;http://wordart.com/go?word=catch
HANGIN';2;Random;Random;Random;Yes;http://wordart.com/go?word=hangin'
'GRAM;2;Random;Random;Random;Yes;http://wordart.com/go?word='gram
COMPTON;2;Random;Random;Random;Yes;http://wordart.com/go?word=compton
DOPE;2;Random;Random;Random;Yes;http://wordart.com/go?word=dope
RAP;2;Random;Random;Random;Yes;http://wordart.com/go?word=rap
JUMP;2;Random;Random;Random;Yes;http://wordart.com/go?word=jump
FLOOR;2;Random;Random;Random;Yes;http://wordart.com/go?word=floor
LOGIC;2;Random;Random;Random;Yes;http://wordart.com/go?word=logic
YUHHH;2;Random;Random;Random;Yes;http://wordart.com/go?word=yuhhh
SHAME;2;Random;Random;Random;Yes;http://wordart.com/go?word=shame
DOT;2;Random;Random;Random;Yes;http://wordart.com/go?word=dot
NEXT;2;Random;Random;Random;Yes;http://wordart.com/go?word=next
LIES;2;Random;Random;Random;Yes;http://wordart.com/go?word=lies
FADE;2;Random;Random;Random;Yes;http://wordart.com/go?word=fade
HUNGRY;2;Random;Random;Random;Yes;http://wordart.com/go?word=hungry
CARL;2;Random;Random;Random;Yes;http://wordart.com/go?word=carl
MIND;2;Random;Random;Random;Yes;http://wordart.com/go?word=mind
UNDERSTAND;2;Random;Random;Random;Yes;http://wordart.com/go?word=understand
CURSED;2;Random;Random;Random;Yes;http://wordart.com/go?word=cursed
DEUTERONOMY;2;Random;Random;Random;Yes;http://wordart.com/go?word=deuteronomy
THEE;2;Random;Random;Random;Yes;http://wordart.com/go?word=thee
SHOULDER;2;Random;Random;Random;Yes;http://wordart.com/go?word=shoulder
SUFFER;2;Random;Random;Random;Yes;http://wordart.com/go?word=suffer
BROKEN;2;Random;Random;Random;Yes;http://wordart.com/go?word=broken
COUCH;2;Random;Random;Random;Yes;http://wordart.com/go?word=couch
POO;2;Random;Random;Random;Yes;http://wordart.com/go?word=poo
LOUD;2;Random;Random;Random;Yes;http://wordart.com/go?word=loud
PATIENCE;2;Random;Random;Random;Yes;http://wordart.com/go?word=patience
TWICE;2;Random;Random;Random;Yes;http://wordart.com/go?word=twice
SMOKE;2;Random;Random;Random;Yes;http://wordart.com/go?word=smoke
PUFFS;2;Random;Random;Random;Yes;http://wordart.com/go?word=puffs
LIFE'S;2;Random;Random;Random;Yes;http://wordart.com/go?word=life's
PANTIES;2;Random;Random;Random;Yes;http://wordart.com/go?word=panties
HOME;2;Random;Random;Random;Yes;http://wordart.com/go?word=home
PARTIES;2;Random;Random;Random;Yes;http://wordart.com/go?word=parties
LEAVIN';2;Random;Random;Random;Yes;http://wordart.com/go?word=leavin'
DESPERATE;2;Random;Random;Random;Yes;http://wordart.com/go?word=desperate
HOMIES;2;Random;Random;Random;Yes;http://wordart.com/go?word=homies
THINGS;2;Random;Random;Random;Yes;http://wordart.com/go?word=things
PLAYIN';2;Random;Random;Random;Yes;http://wordart.com/go?word=playin'
BIGGEST;2;Random;Random;Random;Yes;http://wordart.com/go?word=biggest
HALL;2;Random;Random;Random;Yes;http://wordart.com/go?word=hall
HOLDIN';2;Random;Random;Random;Yes;http://wordart.com/go?word=holdin'
READ;2;Random;Random;Random;Yes;http://wordart.com/go?word=read
ACCOUNTANT;2;Random;Random;Random;Yes;http://wordart.com/go?word=accountant
FLIP;2;Random;Random;Random;Yes;http://wordart.com/go?word=flip
CITY;2;Random;Random;Random;Yes;http://wordart.com/go?word=city
PRIDE;2;Random;Random;Random;Yes;http://wordart.com/go?word=pride
HOPEFULLY;2;Random;Random;Random;Yes;http://wordart.com/go?word=hopefully
DISPERSE;2;Random;Random;Random;Yes;http://wordart.com/go?word=disperse
WITHIN;2;Random;Random;Random;Yes;http://wordart.com/go?word=within
FOURTEEN;2;Random;Random;Random;Yes;http://wordart.com/go?word=fourteen
TRACKS;2;Random;Random;Random;Yes;http://wordart.com/go?word=tracks
CARRIED;2;Random;Random;Random;Yes;http://wordart.com/go?word=carried
WAX;2;Random;Random;Random;Yes;http://wordart.com/go?word=wax
INIQUITIES;2;Random;Random;Random;Yes;http://wordart.com/go?word=iniquities
BLACKS;2;Random;Random;Random;Yes;http://wordart.com/go?word=blacks
ISRAEL;2;Random;Random;Random;Yes;http://wordart.com/go?word=israel
FOLLOW;2;Random;Random;Random;Yes;http://wordart.com/go?word=follow
CHASTEN;2;Random;Random;Random;Yes;http://wordart.com/go?word=chasten
FRIENDS;2;Random;Random;Random;Yes;http://wordart.com/go?word=friends
FAKIN';2;Random;Random;Random;Yes;http://wordart.com/go?word=fakin'
STOP;2;Random;Random;Random;Yes;http://wordart.com/go?word=stop
MUSIC;2;Random;Random;Random;Yes;http://wordart.com/go?word=music
HOPE;2;Random;Random;Random;Yes;http://wordart.com/go?word=hope
FALSE;2;Random;Random;Random;Yes;http://wordart.com/go?word=false
PRISON;2;Random;Random;Random;Yes;http://wordart.com/go?word=prison
FALLIN';2;Random;Random;Random;Yes;http://wordart.com/go?word=fallin'
BANKS;2;Random;Random;Random;Yes;http://wordart.com/go?word=banks
RELIGION;2;Random;Random;Random;Yes;http://wordart.com/go?word=religion
SCREAM;2;Random;Random;Random;Yes;http://wordart.com/go?word=scream
FINGER;2;Random;Random;Random;Yes;http://wordart.com/go?word=finger
HANDLE;2;Random;Random;Random;Yes;http://wordart.com/go?word=handle
FRIEND;2;Random;Random;Random;Yes;http://wordart.com/go?word=friend
MINE;2;Random;Random;Random;Yes;http://wordart.com/go?word=mine
SOMETIMES;2;Random;Random;Random;Yes;http://wordart.com/go?word=sometimes
QUIT;2;Random;Random;Random;Yes;http://wordart.com/go?word=quit
STROKE;2;Random;Random;Random;Yes;http://wordart.com/go?word=stroke
SANDMAN;2;Random;Random;Random;Yes;http://wordart.com/go?word=sandman
PLAY;2;Random;Random;Random;Yes;http://wordart.com/go?word=play
SPEAK;2;Random;Random;Random;Yes;http://wordart.com/go?word=speak
LEAN;2;Random;Random;Random;Yes;http://wordart.com/go?word=lean
FEELING;2;Random;Random;Random;Yes;http://wordart.com/go?word=feeling
END;2;Random;Random;Random;Yes;http://wordart.com/go?word=end
MAD;2;Random;Random;Random;Yes;http://wordart.com/go?word=mad
ALRIGHT;2;Random;Random;Random;Yes;http://wordart.com/go?word=alright
FOREVER;2;Random;Random;Random;Yes;http://wordart.com/go?word=forever
SWITCHIN';2;Random;Random;Random;Yes;http://wordart.com/go?word=switchin'
WRONG;2;Random;Random;Random;Yes;http://wordart.com/go?word=wrong
SHIFTY;2;Random;Random;Random;Yes;http://wordart.com/go?word=shifty
FAME;2;Random;Random;Random;Yes;http://wordart.com/go?word=fame
MMM;2;Random;Random;Random;Yes;http://wordart.com/go?word=mmm
HOT;2;Random;Random;Random;Yes;http://wordart.com/go?word=hot
EVERYBODY'S;2;Random;Random;Random;Yes;http://wordart.com/go?word=everybody's
MOTHERFUCKIN';2;Random;Random;Random;Yes;http://wordart.com/go?word=motherfuckin'
NIKE;2;Random;Random;Random;Yes;http://wordart.com/go?word=nike
RATTLES;2;Random;Random;Random;Yes;http://wordart.com/go?word=rattles
BATTLES;2;Random;Random;Random;Yes;http://wordart.com/go?word=battles
EXPECTED;2;Random;Random;Random;Yes;http://wordart.com/go?word=expected
LICK;2;Random;Random;Random;Yes;http://wordart.com/go?word=lick
COP;2;Random;Random;Random;Yes;http://wordart.com/go?word=cop
FIT;2;Random;Random;Random;Yes;http://wordart.com/go?word=fit
KICKS;2;Random;Random;Random;Yes;http://wordart.com/go?word=kicks
CLUB;2;Random;Random;Random;Yes;http://wordart.com/go?word=club
COUNT;2;Random;Random;Random;Yes;http://wordart.com/go?word=count
PROMISED;2;Random;Random;Random;Yes;http://wordart.com/go?word=promised
HOUR;2;Random;Random;Random;Yes;http://wordart.com/go?word=hour
CHANGE;2;Random;Random;Random;Yes;http://wordart.com/go?word=change
NEWS;2;Random;Random;Random;Yes;http://wordart.com/go?word=news
LOOKIN';2;Random;Random;Random;Yes;http://wordart.com/go?word=lookin'
MARRIED;2;Random;Random;Random;Yes;http://wordart.com/go?word=married
YOURS;2;Random;Random;Random;Yes;http://wordart.com/go?word=yours
SPIRIT;2;Random;Random;Random;Yes;http://wordart.com/go?word=spirit
MEN;2;Random;Random;Random;Yes;http://wordart.com/go?word=men
INSECURE;2;Random;Random;Random;Yes;http://wordart.com/go?word=insecure
POINT;2;Random;Random;Random;Yes;http://wordart.com/go?word=point
OVERCOME;2;Random;Random;Random;Yes;http://wordart.com/go?word=overcome
CHOOSE;2;Random;Random;Random;Yes;http://wordart.com/go?word=choose
SERVICE;2;Random;Random;Random;Yes;http://wordart.com/go?word=service
COURT;2;Random;Random;Random;Yes;http://wordart.com/go?word=court
YESTERDAY;2;Random;Random;Random;Yes;http://wordart.com/go?word=yesterday
NIECE;2;Random;Random;Random;Yes;http://wordart.com/go?word=niece
COUNTRY;2;Random;Random;Random;Yes;http://wordart.com/go?word=country
DRUM;2;Random;Random;Random;Yes;http://wordart.com/go?word=drum
BASS;2;Random;Random;Random;Yes;http://wordart.com/go?word=bass
FOX;2;Random;Random;Random;Yes;http://wordart.com/go?word=fox
ET;2;Random;Random;Random;Yes;http://wordart.com/go?word=et
CETERA;2;Random;Random;Random;Yes;http://wordart.com/go?word=cetera
BLIND;1;Random;Random;Random;Yes;http://wordart.com/go?word=blind
PACIN';1;Random;Random;Random;Yes;http://wordart.com/go?word=pacin'
SIDEWALK;1;Random;Random;Random;Yes;http://wordart.com/go?word=sidewalk
SEEMED;1;Random;Random;Random;Yes;http://wordart.com/go?word=seemed
FRUSTRATED;1;Random;Random;Random;Yes;http://wordart.com/go?word=frustrated
DROPPED;1;Random;Random;Random;Yes;http://wordart.com/go?word=dropped
FINDIN';1;Random;Random;Random;Yes;http://wordart.com/go?word=findin'
LEND;1;Random;Random;Random;Yes;http://wordart.com/go?word=lend
HELPING;1;Random;Random;Random;Yes;http://wordart.com/go?word=helping
HELLO;1;Random;Random;Random;Yes;http://wordart.com/go?word=hello
MA'AM;1;Random;Random;Random;Yes;http://wordart.com/go?word=ma'am
ASSISTANCE;1;Random;Random;Random;Yes;http://wordart.com/go?word=assistance
REPLIED;1;Random;Random;Random;Yes;http://wordart.com/go?word=replied
YES;1;Random;Random;Random;Yes;http://wordart.com/go?word=yes
STATED;1;Random;Random;Random;Yes;http://wordart.com/go?word=stated
VIEWS;1;Random;Random;Random;Yes;http://wordart.com/go?word=views
POLICE;1;Random;Random;Random;Yes;http://wordart.com/go?word=police
BRUTALITY;1;Random;Random;Random;Yes;http://wordart.com/go?word=brutality
SONG;1;Random;Random;Random;Yes;http://wordart.com/go?word=song
QUOTE;1;Random;Random;Random;Yes;http://wordart.com/go?word=quote
POPO;1;Random;Random;Random;Yes;http://wordart.com/go?word=popo
FO';1;Random;Random;Random;Yes;http://wordart.com/go?word=fo'
SHO';1;Random;Random;Random;Yes;http://wordart.com/go?word=sho'
UGH;1;Random;Random;Random;Yes;http://wordart.com/go?word=ugh
COCAINE;1;Random;Random;Random;Yes;http://wordart.com/go?word=cocaine
JOY;1;Random;Random;Random;Yes;http://wordart.com/go?word=joy
HUSTLE;1;Random;Random;Random;Yes;http://wordart.com/go?word=hustle
IMMACULATE;1;Random;Random;Random;Yes;http://wordart.com/go?word=immaculate
CONCEPTION;1;Random;Random;Random;Yes;http://wordart.com/go?word=conception
TRANSFORM;1;Random;Random;Random;Yes;http://wordart.com/go?word=transform
PERFORM;1;Random;Random;Random;Yes;http://wordart.com/go?word=perform
YESHUA;1;Random;Random;Random;Yes;http://wordart.com/go?word=yeshua
WEAPON;1;Random;Random;Random;Yes;http://wordart.com/go?word=weapon
CONTEMPLATE;1;Random;Random;Random;Yes;http://wordart.com/go?word=contemplate
REALNESS;1;Random;Random;Random;Yes;http://wordart.com/go?word=realness
EVIL;1;Random;Random;Random;Yes;http://wordart.com/go?word=evil
ROT;1;Random;Random;Random;Yes;http://wordart.com/go?word=rot
TROUBLESOME;1;Random;Random;Random;Yes;http://wordart.com/go?word=troublesome
WIMBLEDON;1;Random;Random;Random;Yes;http://wordart.com/go?word=wimbledon
ENGINE;1;Random;Random;Random;Yes;http://wordart.com/go?word=engine
FIREWORKS;1;Random;Random;Random;Yes;http://wordart.com/go?word=fireworks
CORVETTE;1;Random;Random;Random;Yes;http://wordart.com/go?word=corvette
TIRE;1;Random;Random;Random;Yes;http://wordart.com/go?word=tire
SKRRT;1;Random;Random;Random;Yes;http://wordart.com/go?word=skrrt
BOULEVARD;1;Random;Random;Random;Yes;http://wordart.com/go?word=boulevard
HORMONES;1;Random;Random;Random;Yes;http://wordart.com/go?word=hormones
SWITCH;1;Random;Random;Random;Yes;http://wordart.com/go?word=switch
SUCKER;1;Random;Random;Random;Yes;http://wordart.com/go?word=sucker
SNITCHED;1;Random;Random;Random;Yes;http://wordart.com/go?word=snitched
BACKBONE;1;Random;Random;Random;Yes;http://wordart.com/go?word=backbone
EXIST;1;Random;Random;Random;Yes;http://wordart.com/go?word=exist
ONSIDE;1;Random;Random;Random;Yes;http://wordart.com/go?word=onside
JELLYFISH;1;Random;Random;Random;Yes;http://wordart.com/go?word=jellyfish
GAUGE;1;Random;Random;Random;Yes;http://wordart.com/go?word=gauge
PEDIGREE;1;Random;Random;Random;Yes;http://wordart.com/go?word=pedigree
DEFINITELY;1;Random;Random;Random;Yes;http://wordart.com/go?word=definitely
TOLERATE;1;Random;Random;Random;Yes;http://wordart.com/go?word=tolerate
OFFEND;1;Random;Random;Random;Yes;http://wordart.com/go?word=offend
PAULA'S;1;Random;Random;Random;Yes;http://wordart.com/go?word=paula's
CONVICTION;1;Random;Random;Random;Yes;http://wordart.com/go?word=conviction
BURNERS;1;Random;Random;Random;Yes;http://wordart.com/go?word=burners
BOOSTERS;1;Random;Random;Random;Yes;http://wordart.com/go?word=boosters
BURGLARS;1;Random;Random;Random;Yes;http://wordart.com/go?word=burglars
BALLERS;1;Random;Random;Random;Yes;http://wordart.com/go?word=ballers
REDEMPTION;1;Random;Random;Random;Yes;http://wordart.com/go?word=redemption
SCHOLARS;1;Random;Random;Random;Yes;http://wordart.com/go?word=scholars
FED;1;Random;Random;Random;Yes;http://wordart.com/go?word=fed
FORGIVENESS;1;Random;Random;Random;Yes;http://wordart.com/go?word=forgiveness
SOLDIER'S;1;Random;Random;Random;Yes;http://wordart.com/go?word=soldier's
BEAST;1;Random;Random;Random;Yes;http://wordart.com/go?word=beast
EXPERTISE;1;Random;Random;Random;Yes;http://wordart.com/go?word=expertise
GRADE;1;Random;Random;Random;Yes;http://wordart.com/go?word=grade
SALE;1;Random;Random;Random;Yes;http://wordart.com/go?word=sale
MOTEL;1;Random;Random;Random;Yes;http://wordart.com/go?word=motel
NOWHERE;1;Random;Random;Random;Yes;http://wordart.com/go?word=nowhere
CARTWHEEL;1;Random;Random;Random;Yes;http://wordart.com/go?word=cartwheel
ESTATE;1;Random;Random;Random;Yes;http://wordart.com/go?word=estate
SUPPOSED;1;Random;Random;Random;Yes;http://wordart.com/go?word=supposed
ANTISOCIAL;1;Random;Random;Random;Yes;http://wordart.com/go?word=antisocial
EXTROVERT;1;Random;Random;Random;Yes;http://wordart.com/go?word=extrovert
EXCELLENT;1;Random;Random;Random;Yes;http://wordart.com/go?word=excellent
ABSENTNESS;1;Random;Random;Random;Yes;http://wordart.com/go?word=absentness
HEARD;1;Random;Random;Random;Yes;http://wordart.com/go?word=heard
PESSIMISTS;1;Random;Random;Random;Yes;http://wordart.com/go?word=pessimists
STRUCK;1;Random;Random;Random;Yes;http://wordart.com/go?word=struck
NERVE;1;Random;Random;Random;Yes;http://wordart.com/go?word=nerve
NAZARETH;1;Random;Random;Random;Yes;http://wordart.com/go?word=nazareth
PLEAD;1;Random;Random;Random;Yes;http://wordart.com/go?word=plead
REASON;1;Random;Random;Random;Yes;http://wordart.com/go?word=reason
POWER'S;1;Random;Random;Random;Yes;http://wordart.com/go?word=power's
SALUTE;1;Random;Random;Random;Yes;http://wordart.com/go?word=salute
TRUTH;1;Random;Random;Random;Yes;http://wordart.com/go?word=truth
PROPHET;1;Random;Random;Random;Yes;http://wordart.com/go?word=prophet
HIP;1;Random;Random;Random;Yes;http://wordart.com/go?word=hip
DAMAGE;1;Random;Random;Random;Yes;http://wordart.com/go?word=damage
AFRICAN;1;Random;Random;Random;Yes;http://wordart.com/go?word=african
AMERICANS;1;Random;Random;Random;Yes;http://wordart.com/go?word=americans
RACISM;1;Random;Random;Random;Yes;http://wordart.com/go?word=racism
RECENT;1;Random;Random;Random;Yes;http://wordart.com/go?word=recent
SEVERAL;1;Random;Random;Random;Yes;http://wordart.com/go?word=several
INHERITIN';1;Random;Random;Random;Yes;http://wordart.com/go?word=inheritin'
MECCA;1;Random;Random;Random;Yes;http://wordart.com/go?word=mecca
MARRIAGES;1;Random;Random;Random;Yes;http://wordart.com/go?word=marriages
MOTHAFUCKAS;1;Random;Random;Random;Yes;http://wordart.com/go?word=mothafuckas
IMITATION;1;Random;Random;Random;Yes;http://wordart.com/go?word=imitation
ABOMINATION;1;Random;Random;Random;Yes;http://wordart.com/go?word=abomination
MATRIX;1;Random;Random;Random;Yes;http://wordart.com/go?word=matrix
BULLETS;1;Random;Random;Random;Yes;http://wordart.com/go?word=bullets
SOW;1;Random;Random;Random;Yes;http://wordart.com/go?word=sow
STACKIN';1;Random;Random;Random;Yes;http://wordart.com/go?word=stackin'
FOOTAGE;1;Random;Random;Random;Yes;http://wordart.com/go?word=footage
VILLA;1;Random;Random;Random;Yes;http://wordart.com/go?word=villa
GRAMMY;1;Random;Random;Random;Yes;http://wordart.com/go?word=grammy
DIAMOND;1;Random;Random;Random;Yes;http://wordart.com/go?word=diamond
CEILIN';1;Random;Random;Random;Yes;http://wordart.com/go?word=ceilin'
MARBLE;1;Random;Random;Random;Yes;http://wordart.com/go?word=marble
FLOORS;1;Random;Random;Random;Yes;http://wordart.com/go?word=floors
BEACH;1;Random;Random;Random;Yes;http://wordart.com/go?word=beach
PEEKIN';1;Random;Random;Random;Yes;http://wordart.com/go?word=peekin'
GODFATHER;1;Random;Random;Random;Yes;http://wordart.com/go?word=godfather
GOALS;1;Random;Random;Random;Yes;http://wordart.com/go?word=goals
HAMMER;1;Random;Random;Random;Yes;http://wordart.com/go?word=hammer
PAPARAZZI;1;Random;Random;Random;Yes;http://wordart.com/go?word=paparazzi
FREAKIN';1;Random;Random;Random;Yes;http://wordart.com/go?word=freakin'
CAMERAS;1;Random;Random;Random;Yes;http://wordart.com/go?word=cameras
BROCK;1;Random;Random;Random;Yes;http://wordart.com/go?word=brock
WEARIN';1;Random;Random;Random;Yes;http://wordart.com/go?word=wearin'
SANDALS;1;Random;Random;Random;Yes;http://wordart.com/go?word=sandals
YOGA;1;Random;Random;Random;Yes;http://wordart.com/go?word=yoga
MONDAY;1;Random;Random;Random;Yes;http://wordart.com/go?word=monday
STRETCHIN';1;Random;Random;Random;Yes;http://wordart.com/go?word=stretchin'
NIRVANA;1;Random;Random;Random;Yes;http://wordart.com/go?word=nirvana
SNAKES;1;Random;Random;Random;Yes;http://wordart.com/go?word=snakes
CURVIN';1;Random;Random;Random;Yes;http://wordart.com/go?word=curvin'
FAKES;1;Random;Random;Random;Yes;http://wordart.com/go?word=fakes
CONVERSATE;1;Random;Random;Random;Yes;http://wordart.com/go?word=conversate
PENETRATE;1;Random;Random;Random;Yes;http://wordart.com/go?word=penetrate
BREAKS;1;Random;Random;Random;Yes;http://wordart.com/go?word=breaks
LEVEL;1;Random;Random;Random;Yes;http://wordart.com/go?word=level
NUMBER;1;Random;Random;Random;Yes;http://wordart.com/go?word=number
SKY;1;Random;Random;Random;Yes;http://wordart.com/go?word=sky
SENTENCE;1;Random;Random;Random;Yes;http://wordart.com/go?word=sentence
KILLINGS;1;Random;Random;Random;Yes;http://wordart.com/go?word=killings
MOTHERFUCKER;1;Random;Random;Random;Yes;http://wordart.com/go?word=motherfucker
WINNERS;1;Random;Random;Random;Yes;http://wordart.com/go?word=winners
BELT;1;Random;Random;Random;Yes;http://wordart.com/go?word=belt
TICKET;1;Random;Random;Random;Yes;http://wordart.com/go?word=ticket
PLATE;1;Random;Random;Random;Yes;http://wordart.com/go?word=plate
SKATE;1;Random;Random;Random;Yes;http://wordart.com/go?word=skate
DESTRUCTION;1;Random;Random;Random;Yes;http://wordart.com/go?word=destruction
ROTATE;1;Random;Random;Random;Yes;http://wordart.com/go?word=rotate
FOUND;1;Random;Random;Random;Yes;http://wordart.com/go?word=found
DARLING;1;Random;Random;Random;Yes;http://wordart.com/go?word=darling
TELLING;1;Random;Random;Random;Yes;http://wordart.com/go?word=telling
REMIND;1;Random;Random;Random;Yes;http://wordart.com/go?word=remind
SWEETHEART;1;Random;Random;Random;Yes;http://wordart.com/go?word=sweetheart
MARIJUANA;1;Random;Random;Random;Yes;http://wordart.com/go?word=marijuana
HOOLIGANS;1;Random;Random;Random;Yes;http://wordart.com/go?word=hooligans
SHADOWS;1;Random;Random;Random;Yes;http://wordart.com/go?word=shadows
FELLOWSHIP;1;Random;Random;Random;Yes;http://wordart.com/go?word=fellowship
STAR;1;Random;Random;Random;Yes;http://wordart.com/go?word=star
FUNNY;1;Random;Random;Random;Yes;http://wordart.com/go?word=funny
COMEDIAN;1;Random;Random;Random;Yes;http://wordart.com/go?word=comedian
BUGGIN';1;Random;Random;Random;Yes;http://wordart.com/go?word=buggin'
INFOMERCIALS;1;Random;Random;Random;Yes;http://wordart.com/go?word=infomercials
INTROVERTED;1;Random;Random;Random;Yes;http://wordart.com/go?word=introverted
GETS;1;Random;Random;Random;Yes;http://wordart.com/go?word=gets
NICKERSON;1;Random;Random;Random;Yes;http://wordart.com/go?word=nickerson
GARDEN;1;Random;Random;Random;Yes;http://wordart.com/go?word=garden
OBJECT;1;Random;Random;Random;Yes;http://wordart.com/go?word=object
DIGEST;1;Random;Random;Random;Yes;http://wordart.com/go?word=digest
DIALECT;1;Random;Random;Random;Yes;http://wordart.com/go?word=dialect
ADAPTATION;1;Random;Random;Random;Yes;http://wordart.com/go?word=adaptation
INEVITABLE;1;Random;Random;Random;Yes;http://wordart.com/go?word=inevitable
VIOLENCE;1;Random;Random;Random;Yes;http://wordart.com/go?word=violence
FEDERAL;1;Random;Random;Random;Yes;http://wordart.com/go?word=federal
POLICIES;1;Random;Random;Random;Yes;http://wordart.com/go?word=policies
RAID;1;Random;Random;Random;Yes;http://wordart.com/go?word=raid
BUILDINGS;1;Random;Random;Random;Yes;http://wordart.com/go?word=buildings
DRUG;1;Random;Random;Random;Yes;http://wordart.com/go?word=drug
PROFESSIONALS;1;Random;Random;Random;Yes;http://wordart.com/go?word=professionals
RESPECTED;1;Random;Random;Random;Yes;http://wordart.com/go?word=respected
CALM;1;Random;Random;Random;Yes;http://wordart.com/go?word=calm
JOKIN';1;Random;Random;Random;Yes;http://wordart.com/go?word=jokin'
EASIER;1;Random;Random;Random;Yes;http://wordart.com/go?word=easier
NEEDED;1;Random;Random;Random;Yes;http://wordart.com/go?word=needed
HISTORY;1;Random;Random;Random;Yes;http://wordart.com/go?word=history
PIMPIN';1;Random;Random;Random;Yes;http://wordart.com/go?word=pimpin'
BANGIN';1;Random;Random;Random;Yes;http://wordart.com/go?word=bangin'
MEANT;1;Random;Random;Random;Yes;http://wordart.com/go?word=meant
DANGEROUS;1;Random;Random;Random;Yes;http://wordart.com/go?word=dangerous
CLOCKED;1;Random;Random;Random;Yes;http://wordart.com/go?word=clocked
GRIP;1;Random;Random;Random;Yes;http://wordart.com/go?word=grip
SLANGIN';1;Random;Random;Random;Yes;http://wordart.com/go?word=slangin'
SCRAPIN';1;Random;Random;Random;Yes;http://wordart.com/go?word=scrapin'
JEANS;1;Random;Random;Random;Yes;http://wordart.com/go?word=jeans
PIECES;1;Random;Random;Random;Yes;http://wordart.com/go?word=pieces
SMOKER;1;Random;Random;Random;Yes;http://wordart.com/go?word=smoker
WEEKEND;1;Random;Random;Random;Yes;http://wordart.com/go?word=weekend
DODGED;1;Random;Random;Random;Yes;http://wordart.com/go?word=dodged
POLICEMAN;1;Random;Random;Random;Yes;http://wordart.com/go?word=policeman
WORKIN';1;Random;Random;Random;Yes;http://wordart.com/go?word=workin'
SMALL;1;Random;Random;Random;Yes;http://wordart.com/go?word=small
