Text;Size;Color;Angle;Font;Repeat;URL
LORD;8;Random;Random;Random;Yes;http://wordart.com/go?word=lord
FAMILY;8;Random;Random;Random;Yes;http://wordart.com/go?word=family
KILLED;8;Random;Random;Random;Yes;http://wordart.com/go?word=killed
TWO;8;Random;Random;Random;Yes;http://wordart.com/go?word=two
NIGGAS;8;Random;Random;Random;Yes;http://wordart.com/go?word=niggas
I'MA;8;Random;Random;Random;Yes;http://wordart.com/go?word=i'ma
GODDAMN;8;Random;Random;Random;Yes;http://wordart.com/go?word=goddamn
CHIP;8;Random;Random;Random;Yes;http://wordart.com/go?word=chip
GIRL;8;Random;Random;Random;Yes;http://wordart.com/go?word=girl
FEELINGS;8;Random;Random;Random;Yes;http://wordart.com/go?word=feelings
WATCH;8;Random;Random;Random;Yes;http://wordart.com/go?word=watch
BUZZIN';8;Random;Random;Random;Yes;http://wordart.com/go?word=buzzin'
LIVE;7;Random;Random;Random;Yes;http://wordart.com/go?word=live
STREET;7;Random;Random;Random;Yes;http://wordart.com/go?word=street
HEART;7;Random;Random;Random;Yes;http://wordart.com/go?word=heart
HOP;7;Random;Random;Random;Yes;http://wordart.com/go?word=hop
YEARS;7;Random;Random;Random;Yes;http://wordart.com/go?word=years
PULL;7;Random;Random;Random;Yes;http://wordart.com/go?word=pull
TOLD;7;Random;Random;Random;Yes;http://wordart.com/go?word=told
TRUST;7;Random;Random;Random;Yes;http://wordart.com/go?word=trust
ANTHONY;7;Random;Random;Random;Yes;http://wordart.com/go?word=anthony
CAME;7;Random;Random;Random;Yes;http://wordart.com/go?word=came
RIDE;7;Random;Random;Random;Yes;http://wordart.com/go?word=ride
GOOD;7;Random;Random;Random;Yes;http://wordart.com/go?word=good
OKAY;7;Random;Random;Random;Yes;http://wordart.com/go?word=okay
REAL;7;Random;Random;Random;Yes;http://wordart.com/go?word=real
CALL;7;Random;Random;Random;Yes;http://wordart.com/go?word=call
BITCHES;7;Random;Random;Random;Yes;http://wordart.com/go?word=bitches
FILL;7;Random;Random;Random;Yes;http://wordart.com/go?word=fill
RIGHT;7;Random;Random;Random;Yes;http://wordart.com/go?word=right
JUDGE;7;Random;Random;Random;Yes;http://wordart.com/go?word=judge
LUST;7;Random;Random;Random;Yes;http://wordart.com/go?word=lust
TAUGHT;7;Random;Random;Random;Yes;http://wordart.com/go?word=taught
MURDER;6;Random;Random;Random;Yes;http://wordart.com/go?word=murder
GON';6;Random;Random;Random;Yes;http://wordart.com/go?word=gon'
UNTIL;6;Random;Random;Random;Yes;http://wordart.com/go?word=until
PRAY;6;Random;Random;Random;Yes;http://wordart.com/go?word=pray
LAST;6;Random;Random;Random;Yes;http://wordart.com/go?word=last
NAME;6;Random;Random;Random;Yes;http://wordart.com/go?word=name
STREETS;6;Random;Random;Random;Yes;http://wordart.com/go?word=streets
ELEMENT;6;Random;Random;Random;Yes;http://wordart.com/go?word=element
THINKIN';6;Random;Random;Random;Yes;http://wordart.com/go?word=thinkin'
MAMA;6;Random;Random;Random;Yes;http://wordart.com/go?word=mama
SOMEBODY;6;Random;Random;Random;Yes;http://wordart.com/go?word=somebody
BAD;6;Random;Random;Random;Yes;http://wordart.com/go?word=bad
MYSELF;6;Random;Random;Random;Yes;http://wordart.com/go?word=myself
COME;6;Random;Random;Random;Yes;http://wordart.com/go?word=come
TODAY;6;Random;Random;Random;Yes;http://wordart.com/go?word=today
BLOOD;6;Random;Random;Random;Yes;http://wordart.com/go?word=blood
RUSH;6;Random;Random;Random;Yes;http://wordart.com/go?word=rush
ANOTHER;6;Random;Random;Random;Yes;http://wordart.com/go?word=another
LOVELY;6;Random;Random;Random;Yes;http://wordart.com/go?word=lovely
FIRED;6;Random;Random;Random;Yes;http://wordart.com/go?word=fired
FIRE;6;Random;Random;Random;Yes;http://wordart.com/go?word=fire
CLOSE;6;Random;Random;Random;Yes;http://wordart.com/go?word=close
SHARE;6;Random;Random;Random;Yes;http://wordart.com/go?word=share
MO';6;Random;Random;Random;Yes;http://wordart.com/go?word=mo'
WALK;5;Random;Random;Random;Yes;http://wordart.com/go?word=walk
DAY;5;Random;Random;Random;Yes;http://wordart.com/go?word=day
WOMAN;5;Random;Random;Random;Yes;http://wordart.com/go?word=woman
OH;5;Random;Random;Random;Yes;http://wordart.com/go?word=oh
LINE;5;Random;Random;Random;Yes;http://wordart.com/go?word=line
THROUGH;5;Random;Random;Random;Yes;http://wordart.com/go?word=through
BABY;5;Random;Random;Random;Yes;http://wordart.com/go?word=baby
TIMES;5;Random;Random;Random;Yes;http://wordart.com/go?word=times
ENOUGH;5;Random;Random;Random;Yes;http://wordart.com/go?word=enough
YOURSELF;5;Random;Random;Random;Yes;http://wordart.com/go?word=yourself
BIG;5;Random;Random;Random;Yes;http://wordart.com/go?word=big
COUSIN;5;Random;Random;Random;Yes;http://wordart.com/go?word=cousin
KICK;5;Random;Random;Random;Yes;http://wordart.com/go?word=kick
SAME;5;Random;Random;Random;Yes;http://wordart.com/go?word=same
FUCKIN';5;Random;Random;Random;Yes;http://wordart.com/go?word=fuckin'
PUSSY;5;Random;Random;Random;Yes;http://wordart.com/go?word=pussy
AIR;5;Random;Random;Random;Yes;http://wordart.com/go?word=air
FLEX;5;Random;Random;Random;Yes;http://wordart.com/go?word=flex
THROW;5;Random;Random;Random;Yes;http://wordart.com/go?word=throw
BLACK;5;Random;Random;Random;Yes;http://wordart.com/go?word=black
FULL;5;Random;Random;Random;Yes;http://wordart.com/go?word=full
FEET;5;Random;Random;Random;Yes;http://wordart.com/go?word=feet
HOUSE;5;Random;Random;Random;Yes;http://wordart.com/go?word=house
ROLL;5;Random;Random;Random;Yes;http://wordart.com/go?word=roll
LOSIN';5;Random;Random;Random;Yes;http://wordart.com/go?word=losin'
AMERICA;5;Random;Random;Random;Yes;http://wordart.com/go?word=america
WHOLE;5;Random;Random;Random;Yes;http://wordart.com/go?word=whole
JT;5;Random;Random;Random;Yes;http://wordart.com/go?word=jt
HUNDRED;5;Random;Random;Random;Yes;http://wordart.com/go?word=hundred
EVERYTHING;5;Random;Random;Random;Yes;http://wordart.com/go?word=everything
OOH;5;Random;Random;Random;Yes;http://wordart.com/go?word=ooh
SHOW;5;Random;Random;Random;Yes;http://wordart.com/go?word=show
WORTH;5;Random;Random;Random;Yes;http://wordart.com/go?word=worth
LOYAL;5;Random;Random;Random;Yes;http://wordart.com/go?word=loyal
WAKE;5;Random;Random;Random;Yes;http://wordart.com/go?word=wake
MORNIN';5;Random;Random;Random;Yes;http://wordart.com/go?word=mornin'
BIT;4;Random;Random;Random;Yes;http://wordart.com/go?word=bit
FIND;4;Random;Random;Random;Yes;http://wordart.com/go?word=find
ROYALTY;4;Random;Random;Random;Yes;http://wordart.com/go?word=royalty
POWER;4;Random;Random;Random;Yes;http://wordart.com/go?word=power
BIRD;4;Random;Random;Random;Yes;http://wordart.com/go?word=bird
DEAD;4;Random;Random;Random;Yes;http://wordart.com/go?word=dead
MEAN;4;Random;Random;Random;Yes;http://wordart.com/go?word=mean
CASE;4;Random;Random;Random;Yes;http://wordart.com/go?word=case
SIPPIN';4;Random;Random;Random;Yes;http://wordart.com/go?word=sippin'
WINDOW;4;Random;Random;Random;Yes;http://wordart.com/go?word=window
