,freq,word,freq JK
950,1.0,state,
951,6.0,today,5.0
952,1.0,united,
953,1.0,states,
954,6.0,america,3.0
955,3.0,bless,1.0
956,1.0,shalom,
957,1.0,shoulders,1.0
958,1.0,focus,1.0
959,1.0,basement,1.0
960,1.0,miseducated,1.0
961,1.0,bothered,1.0
962,1.0,may,1.0
963,1.0,tomorrow,1.0
964,1.0,endin,1.0
965,1.0,pretendin',1.0
966,1.0,offended,1.0
967,2.0,friends,1.0
968,1.0,overrated,1.0
969,1.0,fakin',1.0
970,1.0,changin',1.0
971,1.0,jaded,1.0
972,1.0,scrutinize,1.0
973,16.0,feelin,13.0
974,1.0,removin,1.0
975,1.0,involved,1.0
976,1.0,field,1.0
977,7.0,right,7.0
978,1.0,like—,1.0
979,2.0,prayin',2.0
980,1.0,tappin,1.0
981,1.0,pockets,1.0
982,1.0,debatin,1.0
983,2.0,stop,2.0
984,1.0,legend,1.0
985,1.0,peasants,1.0
986,1.0,mike,1.0
987,1.0,jordan,1.0
988,1.0,whenever,1.0
989,1.0,mic,1.0
990,1.0,presence,1.0
991,1.0,learn,1.0
992,1.0,lesson,1.0
993,2.0,music,2.0
994,1.0,mutual,1.0
995,2.0,hope,2.0
996,1.0,ounce,1.0
997,1.0,manipulated,1.0
998,1.0,soap,1.0
999,2.0,false,2.0
1000,1.0,freedom,1.0
1001,1.0,force-feed,1.0
1002,2.0,prison,2.0
1003,1.0,breathe,1.0
1004,1.0,heartless,1.0
1005,1.0,often,1.0
1006,2.0,fallin,2.0
1007,1.0,apart,1.0
1008,1.0,darkest,1.0
1009,1.0,hours,1.0
1010,1.0,fillin,1.0
1011,1.0,void,1.0
1012,1.0,employed,1.0
1013,1.0,ballin',1.0
1014,1.0,blanks,1.0
1015,1.0,coffins,1.0
1016,2.0,banks,2.0
1017,1.0,graves,1.0
1018,1.0,bullshit,1.0
1019,1.0,internet,1.0
1020,1.0,blogs,1.0
1021,1.0,pulpit,1.0
1022,1.0,gossip,1.0
1023,1.0,'pac,1.0
1024,1.0,apocalypse,1.0
1025,1.0,happenin',1.0
1026,2.0,nothin,2.0
1027,1.0,awkward,1.0
1028,1.0,prosper,1.0
1029,1.0,toxic,1.0
1030,1.0,boxin,1.0
1031,1.0,monsters,1.0
1032,1.0,prophets,1.0
1033,1.0,schemin',1.0
1034,1.0,sponsors,1.0
1035,1.0,industry,1.0
1036,1.0,honkies,1.0
1037,1.0,crackers,1.0
1038,1.0,church,1.0
1039,2.0,religion,2.0
1040,1.0,token,1.0
1041,1.0,bondage,1.0
1042,1.0,lawsuit,1.0
1043,1.0,visits,1.0
1044,1.0,subpoena,1.0
1045,1.0,served,1.0
1046,1.0,concert,1.0
1047,1.0,imposters,1.0
1048,1.0,phoenix,1.0
1049,1.0,sure,1.0
1050,8.0,watch,8.0
1051,1.0,dream,1.0
1052,1.0,regime,1.0
1053,1.0,forms,1.0
1054,1.0,loch,1.0
1055,1.0,ness,1.0
1056,2.0,scream,2.0
1057,1.0,haunts,1.0
1058,1.0,skatin,1.0
1059,1.0,late,1.0
1060,5.0,whole,5.0
1061,17.0,want,15.0
1062,3.0,bank,3.0
1063,8.0,a-ha,9.0
1064,3.0,swole,3.0
1065,4.0,a-ha-ha,4.0
1066,1.0,ever,1.0
